H,R^2,RMSE,MAE,Bias
1,0.6580578088760376,75.74119753414419,56.64326477050781,6.899425506591797
2,0.6559476852416992,75.93579601997664,56.643707275390625,-1.0526524782180786
3,0.6629663109779358,77.06054843433182,57.75472640991211,5.445989608764648
4,0.6697447896003723,77.78626879649936,57.58352279663086,-1.1085532903671265
5,0.6619216799736023,78.48865363859926,57.88850021362305,-0.4610323905944824
6,0.6644206047058105,78.2855412995433,57.64796829223633,-3.456857442855835
7,0.6568598747253418,78.82248338335167,58.63363265991211,5.392893314361572
8,0.6520289182662964,78.35085166755528,58.15011978149414,1.2241917848587036
9,0.6629549264907837,76.69606334625331,57.03905487060547,-4.5569748878479
10,0.639228105545044,79.47340418439524,58.793033599853516,1.4276795387268066
11,0.6563994884490967,77.71630914442123,57.400821685791016,-4.487710475921631
12,0.6252385973930359,81.09954218235453,60.11930847167969,-5.169397830963135
