H,R^2_mean,R^2_std,R^2_count,RMSE_mean,RMSE_std,RMSE_count,MAE_mean,MAE_std,MAE_count,Bias_mean,Bias_std,Bias_count
1,0.6612843871116638,0.017221581017559474,3,75.36664071879149,1.9236528744230432,3,55.583422342936196,1.5658152056152872,3,1.1868748267491658,4.967996186868046,3
2,0.6520407795906067,0.02691889807865206,3,76.32788632199644,2.9440734513733537,3,56.149698893229164,2.527589563277516,3,-0.015528559684753418,3.059883234518135,3
3,0.6701640089352926,0.026081545384048464,3,76.19285012733424,3.0393769007391596,3,56.12966664632162,3.0198172161427554,3,3.322251319885254,7.741457999972639,3
4,0.6750374635060629,0.01633545032551368,3,77.14401072220066,1.9506290272587463,3,57.06692123413086,1.4365619775043506,3,-2.014609138170878,1.5207620642798745,3
5,0.6809149980545044,0.01804594976939615,3,76.23178538429117,2.1519617643107094,3,56.608160654703774,1.704296111690551,3,0.5320929090181985,1.8006585368005925,3
6,0.6628076235453287,0.027017846519914283,3,78.43154337064259,3.1409755573135647,3,57.62984085083008,2.4947355218325704,3,-3.6349653601646423,3.052896698770761,3
7,0.6512424548467001,0.01041192373473076,3,79.45919886206093,1.1812376331867622,3,58.58125432332357,0.48316354123404914,3,1.3441964785257976,5.239473519394819,3
8,0.6362055937449137,0.019619455185100033,3,80.09326313624483,2.148716797560406,3,59.82331339518229,2.3474859971622166,3,5.067724982897441,4.750004264345018,3
9,0.6438300609588623,0.024713046849779145,3,78.81084677125757,2.714798191010586,3,59.010308583577476,2.7320907140435167,3,0.4744911193847656,4.357377444975152,3
10,0.640184203783671,0.02328634584986657,3,79.34023050339555,2.5722636314333376,3,58.962520599365234,2.2686806573672667,3,1.6964284578959148,4.082097979590343,3
11,0.6494846343994141,0.012938930517280534,3,78.48560061443474,1.4413576465570992,3,57.58231735229492,1.156415023007743,3,-4.3085412581761675,5.453720401095485,3
12,0.6223554015159607,0.017084406600236933,3,81.3970961397528,1.8368697538224277,3,59.983412424723305,2.0717487254853717,3,-3.6250417629877725,2.3564593793052135,3
