H,R^2,RMSE,MAE,Bias
1,0.618290901184082,80.02434016929631,58.1119270324707,-17.027957916259766
2,0.619462788105011,79.86066051352348,57.534969329833984,-12.44171142578125
3,0.6421261429786682,79.40729842381461,57.1029052734375,-18.720502853393555
4,0.6256308555603027,82.81864364003434,60.68189239501953,-13.015776634216309
5,0.65193772315979,79.6391642621581,57.566810607910156,-13.776966094970703
6,0.6527867317199707,79.63098792732167,57.476436614990234,-16.10065460205078
7,0.6466546058654785,79.98601867572701,58.42523956298828,-8.280854225158691
8,0.6272554993629456,81.09195265349238,58.5590934753418,-11.011126518249512
9,0.6287115812301636,80.49793463480134,58.91551208496094,-10.579358100891113
10,0.6330015659332275,80.15628045808388,58.85449981689453,-3.4199228286743164
11,0.6282469034194946,80.8374502280657,58.735843658447266,-11.430917739868164
12,0.5980350375175476,83.99145173673182,61.04920959472656,-18.0367488861084
