H,R^2,RMSE,MAE,Bias
1,0.45223110914230347,95.86377969709154,68.0130386352539,-41.7069206237793
2,0.4561346173286438,95.4728824801184,67.93653869628906,-38.366085052490234
3,0.4948909282684326,94.33828963164956,66.56177520751953,-38.144527435302734
4,0.437846839427948,101.48583163889184,72.79368591308594,-44.84762191772461
5,0.42404401302337646,102.44549808617751,73.65432739257812,-46.8970832824707
6,0.39300256967544556,105.28763152223769,75.78531646728516,-52.81938171386719
7,0.3768271803855896,106.22301587491526,76.59944152832031,-51.69151306152344
8,0.36942940950393677,105.47243975027315,76.55961608886719,-51.48447799682617
9,0.289686381816864,111.34074599512076,82.05852508544922,-61.30967712402344
10,0.28075987100601196,112.21280181256058,81.798583984375,-63.229373931884766
11,0.3193556070327759,109.38188817595672,78.98587799072266,-62.10154724121094
12,0.32854700088500977,108.55473669709212,77.32203674316406,-56.115108489990234
