H,R^2,RMSE,MAE,Bias
1,0.533437967300415,88.4729610884026,64.92911529541016,-10.034808158874512
2,0.5026639699935913,91.29758498140846,66.96114349365234,-15.112833976745605
3,0.502821683883667,93.59475166408905,69.16950225830078,-11.571588516235352
4,0.500809907913208,95.63373121903693,69.93892669677734,-16.413972854614258
5,0.5038546323776245,95.0829561734778,69.69734191894531,-12.019757270812988
6,0.4845929741859436,97.01951921842841,70.29942321777344,-20.59634017944336
7,0.4328615069389343,101.33487472700354,74.18849182128906,-24.466440200805664
8,0.45675086975097656,97.8975119784078,71.00845336914062,-23.4658203125
9,0.42691898345947266,100.00853479203663,73.94816589355469,-30.26620864868164
10,0.44562894105911255,98.51576253955506,73.16670227050781,-24.870840072631836
11,0.47833186388015747,95.7596223542966,70.23822784423828,-24.272918701171875
12,0.48363804817199707,95.19586613759812,69.1838150024414,-19.79010009765625
