H,R^2,RMSE,MAE,Bias
1,0.4804621934890747,93.36077012555916,68.08442687988281,-20.736587524414062
2,0.4863736033439636,92.78077635446634,68.5823745727539,-14.940792083740234
3,0.45155608654022217,98.30181621065046,73.25757598876953,-23.141719818115234
4,0.4120689034461975,103.7866087520447,77.54964447021484,-32.532432556152344
5,0.401833713054657,104.40208761532261,77.10514831542969,-32.02016067504883
6,0.41976451873779297,102.9404598845857,75.00665283203125,-36.44496536254883
7,0.43512219190597534,101.13270597956924,73.31747436523438,-34.609642028808594
8,0.4328123927116394,100.03120606840648,73.68428802490234,-27.77066993713379
9,0.3872952461242676,103.40812932713511,76.5108642578125,-34.4730110168457
10,0.3912677764892578,103.23301161692417,75.8143081665039,-34.12111282348633
11,0.4614074230194092,97.30058734085318,70.72891235351562,-24.87885284423828
12,0.44393712282180786,98.78771530566186,71.49373626708984,-31.816646575927734
