H,R^2,RMSE,MAE,Bias
1,0.612707257270813,80.60751687866181,56.98575210571289,-26.30554962158203
2,0.5925920009613037,82.63216213285236,57.81914138793945,-30.688369750976562
3,0.6102956533432007,82.8634571995551,57.42980194091797,-30.884397506713867
4,0.6129435300827026,84.21030801845164,59.38916015625,-29.90947151184082
5,0.6284134387969971,82.28642750991047,58.18701934814453,-27.94451332092285
6,0.6120835542678833,84.16916733857327,59.50724792480469,-26.7048282623291
7,0.5750691890716553,87.71492298830199,62.305274963378906,-27.639284133911133
8,0.5806517601013184,86.01210114262265,61.90565872192383,-26.461284637451172
9,0.58552086353302,85.05118518611307,61.04604721069336,-28.788002014160156
10,0.5943281650543213,84.27386009964033,59.76236343383789,-29.516878128051758
11,0.5970898270606995,84.15683310696613,59.74663543701172,-28.89500617980957
12,0.5536162853240967,88.5105760364969,62.81321334838867,-31.797531127929688
