H,R^2,RMSE,MAE,Bias
1,0.5554547309875488,86.36024430763845,63.623077392578125,-5.014226913452148
2,0.5048255920410156,91.09896533097947,66.72606658935547,-9.717001914978027
3,0.4957725405693054,94.25593171818153,69.21186065673828,-9.961423873901367
4,0.5217920541763306,93.60230031895584,69.16959381103516,-11.725953102111816
5,0.5048479437828064,94.98773049879917,70.1417465209961,-9.155637741088867
6,0.49509871006011963,96.02563642883342,70.42937469482422,-17.249195098876953
7,0.5168224573135376,93.53362008356942,69.44715118408203,-12.045878410339355
8,0.49532705545425415,94.35766086578504,69.64176940917969,-16.272968292236328
9,0.4659854769706726,96.5396210760121,71.50604248046875,-22.28740119934082
10,0.43151599168777466,99.7618697903287,74.1214599609375,-24.04373550415039
11,0.4397450089454651,99.23803454321332,72.51464080810547,-22.29704475402832
12,0.4836665391921997,95.19323993691727,70.38313293457031,-14.274028778076172
