H,R^2,RMSE,MAE,Bias
1,0.3711739778518677,102.71197593270222,73.75225067138672,-50.15494918823242
2,0.3766699433326721,102.2099937016924,72.6329574584961,-52.84187316894531
3,0.38370752334594727,104.2050731280632,74.3935546875,-55.387062072753906
4,0.38099193572998047,106.49427343025305,76.66939544677734,-52.87074661254883
5,0.40890467166900635,103.78318369923906,73.96704864501953,-50.56781768798828
6,0.4313160181045532,101.91061973152013,72.76168823242188,-50.188438415527344
7,0.36422789096832275,107.29144923117126,77.52758026123047,-55.99397659301758
8,0.3566852807998657,106.5329321149099,77.41436004638672,-55.78102493286133
9,0.33406519889831543,107.80648986871105,79.40608978271484,-56.574275970458984
10,0.3619533181190491,105.68945888190554,78.2291488647461,-51.88224411010742
11,0.4110757112503052,101.74545540373045,74.68019104003906,-46.08935546875
12,0.39030277729034424,103.44227708002178,74.5396957397461,-48.71084976196289
